Sample Barcode,Sample Label,Freezer Name,Rack Name,Box Name,Filter Type (Conditional)
eLP_E01_21w_0074,eLP_E01_21w_0074,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0077,eLP_E01_21w_0077,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0078,eLP_E01_21w_0078,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0081,eLP_E01_21w_0081,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0082,eLP_E01_21w_0082,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0087,eLP_E01_21w_0087,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0089,eLP_E01_21w_0089,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0092,eLP_E01_21w_0092,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0093,eLP_E01_21w_0093,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0096,eLP_E01_21w_0096,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0097,eLP_E01_21w_0097,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0102,eLP_E01_21w_0102,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_21w_0104,eLP_E01_21w_0104,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_21w_0107,eLP_E01_21w_0107,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_21w_0108,eLP_E01_21w_0108,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_21w_0111,eLP_E01_21w_0111,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_21w_0112,eLP_E01_21w_0112,Maine-eDNA (Hitchner),Supor_Rack_2,supor2_2/17/23,Supor
eLP_E01_22w_0002,eLP_E01_22w_0002,Kinnison lab (Murray),Additional Penobscot Index Filters +4 Boxes From Machias,Supor_1-27-23,Supor
eLP_E01_22w_0005,eLP_E01_22w_0005,Kinnison lab (Murray),Additional Penobscot Index Filters +4 Boxes From Machias,Supor_1-27-23,Supor
eLP_E01_22w_0009,eLP_E01_22w_0009,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_1/27/23,Supor
eLP_E01_22w_0010,eLP_E01_22w_0010,Kinnison lab (Murray),Additional Penobscot Index Filters + 4 Boxes from Machias,eLP_E01_22w_0010,Supor
eLP_E01_22w_0012,eLP_E01_22w_0012,Kinnison lab (Murray),Additional Penobscot Index Filters + 4 Boxes from Machias,Supor_1-27-23,Supor
eLP_E01_22w_0015,eLP_E01_22w_0015,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_1/27/23,Supor
eLP_E01_22w_0019,eLP_E01_22w_0019,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_1/27/23,Supor
